Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zhu, J., Mathes, T., Stahl, A.D., Kennis, J.T.M., Groot, M.L.","55637656200; 15132585000; 35750697300; 6701664153; 7004139338","Ultrafast mid-infrared spectroscopy by chirped pulse upconversion in 1800-1000cm <sup>-1</sup> region",2012,"Optics Express",20,"10",,10562,10571,,23,10.1364/OE.20.010562,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861131930&partnerID=40&md5=62ec1998751dc1e8a150bee25de20bbc",Article,Final,Open Access,Scopus,2-s2.0-84861131930
"Krupin, O., Trigo, M., Schlotter, W.F., Beye, M., Sorgenfrei, F., Turner, J.J., Reis, D.A., Gerken, N., Lee, S., Lee, W.S., Hays, G., Acremann, Y., Abbey, B., Coffee, R., Messerschmidt, M., Hau-Riege, S.P., Lapertot, G., Lüning, J., Heimann, P., Soufli, R., Fernández-Perea, M., Rowen, M., Holmes, M., Molodtsov, S.L., Föhlisch, A., Wurth, W.","6602536005; 8916470200; 6603170182; 36851224500; 35100925000; 57212569954; 7202589704; 54787598400; 27171361500; 50961507600; 57198016279; 6602902061; 35241721900; 6701866855; 6506101922; 6701447178; 7003701104; 7004523622; 35450990200; 6603565574; 55911689400; 7003672493; 53866343900; 7006777695; 6603742799; 6701444825","Temporal cross-correlation of x-ray free electron and optical lasers using soft x-ray pulse induced transient reflectivity",2012,"Optics Express",20,"10",,11396,11406,,58,10.1364/OE.20.011396,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861130188&partnerID=40&md5=d6ab5e35a996351408478a82eec2d8f0",Article,Final,Open Access,Scopus,2-s2.0-84861130188
"Zhao, Y., Chen, F., Shen, Q., Zhang, L.","36633724600; 56962789500; 55547133898; 8701487500","Optimal design of light trapping in thin-film solar cells enhanced with graded SiN<inf>x</inf> and SiO<inf>x</inf>N<inf>y</inf> structure",2012,"Optics Express",20,"10",,11121,11136,,15,10.1364/OE.20.011121,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861130184&partnerID=40&md5=235b689054ae3444fee874b55341c18c",Review,Final,Open Access,Scopus,2-s2.0-84861130184
"Karagodsky, V., Chang-Hasnain, C.J.","24775987800; 7006537947","Physics of near-wavelength high contrast gratings",2012,"Optics Express",20,"10",,10888,10895,,112,10.1364/OE.20.010888,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861129963&partnerID=40&md5=063470ac52cfaf85015087a66fa4b4e3",Article,Final,Open Access,Scopus,2-s2.0-84861129963
"Tripathi, S., Toussaint Jr., K.C.","15847159300; 6602247765","Versatile generation of optical vector fields and vector beams using a non-interferometric approach",2012,"Optics Express",20,"10",,10788,10795,,39,10.1364/OE.20.010788,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861128219&partnerID=40&md5=b27a2610371c3532fc6fc9f38dda15ab",Article,Final,Open Access,Scopus,2-s2.0-84861128219
"Yu, F., Wadsworth, W.J., Knight, J.C.","54915812800; 57218886608; 35597985200","Low loss silica hollow core fibers for 3-4 μm spectral region",2012,"Optics Express",20,"10",,11153,11158,,290,10.1364/OE.20.011153,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861128123&partnerID=40&md5=7951af3622cf7f0587b254e9e1125b73",Article,Final,Open Access,Scopus,2-s2.0-84861128123
"Singer, J.P., Lee, J.-H., Kooi, S.E., Thomas, E.L.","14062550600; 56014815000; 7003845522; 7403592697","Rapid fabrication of 3D terahertz split ring resonator arrays by novel single-shot direct write focused proximity field nanopatterning",2012,"Optics Express",20,"10",,11097,11108,,9,10.1364/OE.20.011097,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861128105&partnerID=40&md5=247ab9f3ee4aa9eb591904342d4bb794",Article,Final,Open Access,Scopus,2-s2.0-84861128105
"Shivanand, Webb, K.J.","24777177400; 57203875412","Electromagnetic field energy density in homogeneous negative index materials",2012,"Optics Express",20,"10",,11370,11381,,5,10.1364/OE.20.011370,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861125785&partnerID=40&md5=cd91578afcba5680cc9cd48f6c9b3e30",Article,Final,Open Access,Scopus,2-s2.0-84861125785
"Shiraki, E., Nishizawa, N.","35769664800; 7102014075","Coherent ultrashort pulse generation from incoherent light by pulse trapping in birefringent fibers",2012,"Optics Express",20,"10",,11073,11082,,3,10.1364/OE.20.011073,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861125783&partnerID=40&md5=3a5dbd2b5c313dedc15a51dd69d927d4",Article,Final,Open Access,Scopus,2-s2.0-84861125783
"Zhong, Q., Li, W., Zhang, Z., Zhu, J., Huang, Q., Li, H., Wang, Z., Jonnard, P., Le Guen, K., André, J.-M., Zhou, H., Huo, T.","55220594100; 36904233500; 8918360800; 14519996400; 24740711500; 35190835100; 56553419100; 7003769912; 23035388100; 7401496039; 7404742428; 7007115944","Optical and structural performance of the Al(1%wtSi)/Zr reflection multilayers in the 17-19nm region",2012,"Optics Express",20,"10",,10692,10700,,32,10.1364/OE.20.010692,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84861125097&partnerID=40&md5=54f88fbc7114dc4d7c58db1d013f428b",Article,Final,Open Access,Scopus,2-s2.0-84861125097
